review,tokens,food,service,ambience,price
"I have been wanting to try their takeout menu for a while so I got the Crenn Kit Luxe and the Crenn Kit! The kits were such a treat on a Friday night. Having a high-interest plating food, I really enjoyed plating all the dishes even it took ","takeout,menu,kits,treat,night,interest,plating,food,dishes",1,0,0,0
The Crenn Kit to go meal is delicious!!-Bleu Belle Farm Vegetable Soup-Vegetable Parmentier Gratin ,"meal,vegetable,parmentier",1,0,0,0
This rating refers only to the reservation process. We booked and prepaid a Grand Feast experience that one month later was suddenly cancelled because they sold out one of the venues for a private event. ,"rating,reservation,process,experience,month,venues,event",0,0,1,0
Even among fine dining this was a standout experience both due to the excellent service and food. Truly a treat and worth every penny.,"dining,standout,experience,service,food,treat,penny",1,1,1,0
"Of all the Michelin 3 Star restaurant, this is by far the best. The atmosphere is relatively casual to most Michelin 3 Stars, not stuffy. The best part is the food. The presentation of the food is just as amazing as the taste. A still photo ","restaurant,atmosphere,food,presentation,taste",1,0,1,0
"Delicious food, great experience, took 3hrs for 4 people","food,experience,people",1,0,1,0
The dishes were creative and beautiful... And delicious of course! Service was excellent. Truly an experience. This deserves its place at the top of the SF list of restaurants.,"dishes,course,experience,place,list,restaurants",0,0,1,0
"Worth it... , One of the best experience I had in my lifetime . Presentation hospitalality and of course the musical notes on the palate are exquisite and unforgettable","experience,lifetime,presentation,hospitalality,course,notes,palate",0,0,1,0
Definitely lives up to the expectations! Beautiful romantic fancy sit down place. Don't let the door fool you! Once you step inside its like your in another city ! The food was amazing &I the service was just beautiful! Definitely recommend!,"expectations,fancy,place,door,city,food,service",1,1,1,0
I tried this place before with my friend and I am addicted ever since. I enjoyed the great ambience and flavorful dishes and beverages. I recommend this place.,"place,friend,ambience,dishes,beverages",0,0,1,0
"Great food hampered by fussy, pretentious service.","food,service",1,1,0,0
We enjoy to go out. Last night we arrived in this delicious place which friends told us about. We spent a delightful time there with very good meal and an efficient stuff and a great chief cook. We put this fine restaurant in our list  and we shall no doubt visit again very soon. We highly recommend.,"night,place,friends,time,meal,stuff,cook,restaurant,list",1,0,1,0
I miss the scented food and plan to visit every year,"food,year",1,0,0,0
Should be on everyone's bucket list! Just an amazing culinary experience that you have to live through and encounter for yourself.,"bucket,list,experience",0,0,1,0
"Incredible, incredible food - imaginative, nuanced, emotional, gorgeous. The poem, personal story etc added an extra layer of artistry. Every member of the team came across as warm, knowledgeable and passionate about what they were doing.  The chef's table made for a unique and memorable night out.","food,poem,story,layer,artistry,member,team,chef,table,night",1,0,0,0
Everything before dessert is well executed and (not fullfilling) That brioche is the only thing you can feel a little. Hope there is less dessert but more food ( the dessert is not impressive at all),"dessert,brioche,thing,food",1,0,0,0
"Best restaurant experience I've had in San Francisco! Creative food, amazing staff, cute and intimate setting. Definitely at the top of SF fine dinning.","restaurant,experience,food,staff,setting,dinning",1,1,1,0
"It would be practically impossible to find a place to eat that would be better than this. Staff, impeccable, decor very appropriate, food is, of course, off the charts","place,staff,decor,food,course,charts",1,1,1,0
"WOW, you must experience yourself.  MAKE YOUR RESERVATION SOON FOR A GREAT EXPERIENCE!","reservation,experience",0,0,1,0
Best culinary experience ever,experience,0,0,1,0
"Overall the creativity, genuine emotion, and mind-boggling thoughtfulness amalgamated with the divine food makes Atelier Crenn one of the best meals in California, if not the US. ","creativity,emotion,mind,thoughtfulness,food,meals",1,0,0,0
"The food is innovative and the alcohol pairing was fantastic. Yes, its expensive but its an awesome experience. Most places refold your napkin when you get up from the table. At this place, you return to a fresh napkin. Thats an example of the excellent service.","food,alcohol,experience,places,napkin,table,example,service",1,1,1,1
"After seeing the Netflix Chef's Table featuring Dominique Crenn, we decided to visit her restaurant in San Francisco and we started next door, at Bar Crenn. The ambiance of the bar is very old school French with warm green/gray walls, ","table,restaurant,door,ambiance,bar,school,walls",0,0,1,0
I wish we had the same experience everyone else did. We were so disappointed and such a waste of money fir our anniversary. We live fancy restaurants but the food was just awful. The service and atmosphere was wonderful. Wine pairings ,"experience,waste,money,anniversary,restaurants,food,service,atmosphere,wine,pairings",1,1,1,1
Delightful experience,experience,0,0,1,0
Came here for lunch with hubby and we absolutely loved iit!,"lunch,hubby",1,0,0,0
My favorite restaurant in the greater SF Bay area. Innovative good that just keeps getting better and better! The last visit we were able to snag the chef's table which was an awesome experience. I've been to all the Michellin 3-stars in the area and none can hold a candle to this place. My highest recommendation!,"restaurant,area,good,visit,chef,table,experience,stars,candle,place,recommendation",0,0,1,0
"Two experiences, 2017 and 2019.2019: disappointing all around.  Not deserving of 3 stars and not one of the worlds best. Food was monotone.  Both wine pairings ($220 and $550) were ","experiences,stars,worlds,food,wine,pairings",1,0,1,0
"There was a bug in my dish, I let the waiter know and replaced it promptly but I would have expected more from a *** Michelin","bug,dish,waiter,michelin",0,1,0,0
"A divine culinary experience, words cannot describe our amazing evening. The meal was beyond description, the service was superb, and the attention to every detail from the plating, dinnerware, cutlery, even the restroom design. Perfection. A truly special place.","experience,words,evening,meal,description,service,attention,detail,plating,restroom,design,perfection,place",1,1,1,0
Good selection on menu. Staff very polite. Food tastes great,"selection,menu,staff,food",1,1,0,0
Incredibly innovative but grossly expensive. Once in a lifetime experience. Go for the beautifully professional and charming staff.,"lifetime,experience,staff",0,1,1,1
Stellar service and food. Well worth the money for the experience.,"service,food,money,experience",1,1,1,1
"Amazing texture, superb service and delicious taste, it was my third time at Atelier Crenn but it was still as impressive as the first time. I will keep coming back every 2 years to be amazed.","texture,superb,service,taste,time,years",0,1,0,0
"The food was superb, the staff pleasantly attentive and knowledgeable.","food,staff",1,1,0,0
No review can do justice to the experience we had here. Unforgettable.,"review,justice,experience",0,0,1,0
Amazing food.,food,1,0,0,0
Absolutely amazing dinner.,dinner,1,0,0,0
amazing food and service. super pricey but worth it for special occasions.,"food,service,occasions",1,1,0,0
Great experience.Recommended.,experience,0,0,1,0
A truly wonderful experience! Everything was simply exceptional! Passion at work. Merci beaucoup!,"experience,passion,work,beaucoup",0,0,1,0
"Beautiful presentation with nicely decorated, lovely environment with good service except in suggesting to serve wet tower in the beginning for picking up food to eat!","presentation,environment,service,tower,beginning,food",1,1,0,0
What a phenomenal evening. Absolutely exquisite food and service.,"evening,food,service",1,1,0,0
"We felt welcome the moment the door opened to Bar Crenn, which is right next door. We settled there to have a bottle of champagne and oysters. The very good service took us through the kitchen into the dining room. The food was quite ","moment,door,bottle,champagne,oysters,service,kitchen,dining,room,food",1,1,0,0
Amazing creative dinner with top quality food and ingredients,"dinner,quality,food,ingredients",1,0,0,0
"Stunning, incentive, delicious food that doesn't take itself too seriously.","incentive,food",1,0,0,0
"My favorite of the 3 Michelin star restaurants in the USA thus far, I've eaten at almost all of them with three exceptions.  Atelier Crenn has incredible food with the kind of service you expect at a restaurant of this magnitude and cost. ","favorite,star,restaurants,exceptions,food,kind,service,magnitude,cost",1,1,0,1
"3 Michelin Stars, yes! So worth the experience. Truly felt like we were in a home.","experience,home",0,0,1,0
"Flawless, meticulous and delicious. The staff was on top of everything, every dish exquisitely prepared and the poem-based menu is such a charming way to unwrap the experience","staff,dish,poem,menu,way,experience",0,1,1,0
"My only drive in life to work and make money is to spend it all here. Dang, chef. You're awesome.","drive,life,money,chef",0,0,0,1
I had a wonderful birthday dinner here they really took care of me and the food was unique and delicious,"birthday,dinner,care,food",1,0,0,0
Utterly fantastic dinner. Each dish was  exciting and thoughtful and of course immaculately executed.,"dinner,dish,course",1,0,0,0
"Words can not express. The atmosphere, service and amazing food all work as one to provide a wonderful eating experience.","words,atmosphere,service,food,eating,experience",1,1,1,0
"Food was amazing, it was just as good if not better experience than grace in Chicago. It was cool to be there on the eve of their 3 stars, congrats!!!","food,experience,grace,eve,stars,congrats",1,0,1,0
My husband and I had the pleasure of dining at Atelier Crenn on our most recent trip to San Francisco. What a truly unique experience! ,"husband,pleasure,dining,trip,experience",0,0,1,0
Today I went on an amazing journey of taste. Every dish had an interesting story and unique selection of ingredients. The staff was very professional. Highly recommend this restaurant.,"today,journey,taste,dish,story,selection,ingredients,staff,restaurant",0,1,0,0
"Magnificent food, impeccable service. Always a winner.","food,service,winner",1,1,0,0
"Will redefine what your consider to be ""food""... You will experience emotions and reactions you never knew you could due to food. Should easily be 3 Michelin stars, and frankly they should make a 4 star category just for the this place. ","food,emotions,reactions,stars,category,place",1,0,1,0
"Food excellent, decor too, but acoustics left something to be desired. Although it was very small, by time half tables filled, it was too noisy to be able to easily hear the detailed description of what each course was, particularly with some servers with accents. I've never encountered this problem in comparable restaurants.","food,decor,acoustics,time,half,tables,description,course,servers,accents,problem,restaurants",1,1,0,0
Great place. Awesome food.  Good vibe.,"place,food,vibe",1,1,1,0
I wish I could give this six stars. It is an amazing restaurant with transformative food. A can't miss experience.,"stars,restaurant,food,experience",1,0,1,0
One of the most incredible dining experiences I've ever had. The food and service are unmatched. The staff made my friends birthday so memorable. We will be back again. Atelier Crenn definitely deserves their third Michelin Star.,"dining,experiences,food,service,staff,friends",1,1,1,0
"Dinner at Atelier Crenn was simply astounding.  Magnificence and mastery in every respect.  An Atelier is an artist studio, in this case the studio of food artist Dominique Crenn, and the Art of Food is exactly what is created here.  Fair ","dinner,magnificence,mastery,respect,artist,studio,case,food",1,0,0,0
"Amazing creativity, flavors, service and presentation","creativity,flavors,service,presentation",0,1,0,0
Best dinner ever.,dinner,1,0,0,0
"Fantastic seafood preparation, but the other dishes are not quite memorable because there is smoked gelee in a few of the in between dishes","seafood,preparation,dishes,gelee",1,0,0,0
Amazing food. Five star service. Many thanks to Irina for the tour of the kitchen and the memorable family photo with the kitchen staff!,"food,star,service,thanks,tour,kitchen,family,photo,staff",1,1,0,0
Enjoyed my dinning experience here every single second! The service here is exceptional. The food is exquisite. Every dish is a piece of artwork that deserves to shine. My friends from out of town loved it so much too! Will revisit again.,"dinning,experience,second,service,food,dish,piece,artwork,friends,town",1,1,1,0
"Wow, what can I say about this dining experience other than a bucket list evening. The food is delicious and the presentation is unbelievable. Couple with the wine pairings and you have a night to put on the record books. If you arrive early spend some time next door at Bar CRENN and sample some unique Special Club champagnes!","dining,experience,bucket,list,evening,food,presentation,couple,wine,pairings,night,record,books,time,door,crenn,champagnes",1,0,1,0
"Got a walk in table for 2 at the bar at 6:30 on a Saturday night! Small yet creative menu and actually much cheaper than I thought - the wine menu is very expensive though, but they do sell half bottles which is a nice touch. Whatever you do you MUST order the brioche bread, its soooooo yummy","walk,table,bar,night,menu,wine,half,bottles,touch,brioche,bread,soooooo",1,0,0,1
Amazing dinner. Everything was so intricate. Loves her play on texture and flavors!,"dinner,play,texture,flavors",1,0,0,0
"The best female chef, the delicate layers of ingredients are mixed and matched on carefully designed tableware, presenting a pleasing gourmet art, eating in the mouth is the first experience of the taste buds, it is ","chef,layers,ingredients,gourmet,art,mouth,experience,taste,buds",0,0,1,0
"Good service, mediocre food. Not worthy the money. Not recommended.","service,food,money",1,1,0,1
"Simply love Atelier Crenn. The people, the service & the food are life changing. The only thing missing is the third Michelin star. Live life, eat at Atelier Crenn.","people,service,food,life,thing,star",1,1,0,0
"High end Michelin star restaurant with obvious excellent service, and extremely creative dishes, almost like an art.  So inventive to deliver different flavors and textures.  Would love to go back for a different season experience.","end,star,restaurant,service,dishes,art,flavors,textures,season,experience",0,1,1,0
"You get the show and the place has excellent service as expected in a two star restaurant. However, it appears that the show was more important than the food and as a result the food looked better than it tasted. Two groups of friends described similar experience.","place,service,star,restaurant,food,result,groups,friends,experience",1,1,1,0
"Great experience from the food to the service and environment. Really small, quaint place with only 8 tables, so everything is quiet and minimalistic and feels like it's tailored to you.","experience,food,service,environment,quaint,place,tables",1,1,1,0
A magical meal and a treat to take home for breakfast,"meal,treat,breakfast",1,0,0,0
"Wow, wow wow. No words can describe how fantastic tbe experience was.","words,tbe,experience",0,0,1,0
"No need to travel to Tokyo, Paris or Copenhagen if you want to enjoy the finest food on the planet.","need,food,planet",1,0,0,0
"Its a pleasant interactive dinner. The plating was amazingly beautiful. However not much impression left for the food, a bit plain. Dessert is genius though. Happy ending.","dinner,plating,impression,food,bit,genius,ending",1,0,0,0
"Every detail was perfect, not a single dish or aspect of the service left more to be desired. That deserve that third star!","detail,dish,aspect,service,star",0,1,0,0
A Michelin star restaurant in San Francisco chef Dominque Crenn - see her on Netflix on Chef TableI am a huge foodie and was expecting to be blown away especially at the price I ,"star,restaurant,chef,foodie,price",1,0,0,1
Awesome experience!,experience,0,0,1,0
"Unquestionably one of the best dinning experiences that we have had. A mixing of complex tastes and textures that are both serious and whimsical. And, the wine is outstanding. The service is amazing.","dinning,experiences,mixing,tastes,textures,wine,service",0,1,1,0
Unique culinary experience. Beautifully crafted art food.,"experience,art,food",1,0,1,0
Wonderful evening indulging fine food.,"evening,food",1,0,0,0
1. Dim lit hallway for entrance2. Double seated (not acceptable for price)3. 80's rock music as background music???? ,"dim,hallway,entrance2,rock,music,background",0,0,1,0
One of the best meals I've ever had.,meals,1,0,0,0
Tryed to get there without a reservation.. Lady who turned us around made it in a way that we will never come back..never had such an experience at michelin stared restaurant..what a shame.. Go to Al's place for unique experience and nicest host,"reservation,way,experience,restaurant,shame,place,host",0,0,1,0
Place is nasty  Food was Salty,place,0,0,1,0
"Inventive dishes and fine service make it an interesting experience, but it is definitely not worth the  $325 price tag (drinks not included).  Perhaps I am spoiled by the Tokyo fine dining scene which offers far better food and service ","dishes,service,experience,price,tag,drinks,dining,scene,food",1,1,1,1
Incredibly creative and delicious meal. Lovely staff.,"meal,staff",1,1,0,0
"Amazing food, wine and experience. Chef Crenn's unique menu and the intimate setting of the restaurant made for an amazing meal. A must visit when in San Francisco.","food,wine,experience,menu,setting,restaurant,meal",1,0,1,0
"The service was impeccable and Chef Crenn appeared and generous to personally greet each table. My only issue was the menu. I went know Jan. 3, 2018, And each dish (non-desert) was fish. This was underwhelming at best, and actually ","service,table,issue,menu,dish,non,-,desert,fish",0,1,0,0
A beautiful and awe inspiring experience,experience,0,0,1,0
Food was fabulous. I was disappointed that the chef visited every table but ours.,"food,chef,table",1,0,0,0
Wonderful place for creative dishes and top notch service.,"place,dishes,notch,service",0,1,1,0
"Great experience, highly recomended",experience,0,0,1,0
"I really liked the atmosphere at Atelier Crenn  it was very cozy and aesthetic.  I thoroughly enjoyed the food courses  they were imaginative and delicious.  We however did not love the desserts - they were served elegantly, but the taste ","atmosphere,food,courses,desserts,taste",1,0,1,0
"I'm very conflicted writing this. I've watched the documentary, I enjoyed making friends with the staff and I loved that Dominique Crenn came out to chat to us several times. I wanted to love this meal. But I can't quite bring myself to ","documentary,friends,staff,times,meal",1,1,0,0
"One of the best meals of my life. The flavors of this meal are truly San Francisco. Each dish is amazingly creative, you'll never have anything like it again. Highly recommend for a special occasion","meals,life,flavors,dish,recommend,occasion",1,0,0,0
Wonderful Dining Experience where art meets food,"experience,art,food",1,0,1,0
The food here and the wine experts are world class,"food,wine,experts,world,class",1,0,0,0
"Atelier Crenn was one of many stops on a ten day SF - LA food trip, and probably the most anticipated. Let me start by saying the food was incredible - there was so much love and attention to detail in every bite I never wanted it to end. I ","stops,day,food,trip,love,attention,detail,bite",1,0,0,0
"Incredible experience- service, atmosphere and food!","experience-,service,atmosphere,food",1,1,1,0
"This is a high-end restaurant full of creativity, elegant environment, comfortable and welcoming service, and delicious meals. If a restaurant uses seasonal fruits and vegetables, and even has a special theme for ","end,restaurant,creativity,environment,service,meals,fruits,vegetables,theme",1,1,0,0
Perfect meal,meal,1,0,0,0
An experience not to be missed.,experience,0,0,1,0
The most fabulous dining experience I've ever had! The service was impeccable and the food was incredible!!,"dining,experience,service,food",1,1,1,0
"Easily the best meal of my life. Brilliant chefs, comfortable decor, knowledgeable staff, wonderfully paced courses. Obviously great food and wine, but they also had a surprisingly awesome coffee selection too.","meal,life,chefs,decor,staff,courses,food,wine,coffee,selection",1,1,0,0
The experience was magic. Unlike any meal I have ever had. Why is this not 3 stars?,"experience,meal,stars",1,0,1,0
Amazing food experience!,"food,experience",1,0,1,0
"We anticipated that this would be an artful experience, but we didn't expect that every bite of food would be more delicious than any other bite in our lives. The food is sublime. The presentation is gallery style art. The experience is ","experience,bite,food,lives,presentation,gallery,style,art",1,0,1,0
"Food. Excellent, ambiance great.","food,ambiance",1,0,1,0
"Every single thing we ate was delicious. This is no ordinary restaurant. The chef is considered one of the best in the world, and you will pay dearly for this magical experience. There are about 20 courses, and it is a tasting menu, so the ","thing,restaurant,chef,world,experience,courses,tasting,menu",0,0,1,0
"Overall it was fine but for the price I was expecting more. Everything tasted good, lots of vegetarian and fish items, but nothing wowed me. The drink pairings were standard, again, nothing blew me away","price,lots,fish,items,drink,pairings",0,0,0,1
"I travel a lot in the Americas and in Europe. I have eaten in many starred restaurants from Copenhagen to Rome and from Brugge to Berlin. Working with Chefs is my passion and livelihood. I will say that the food, presentation, attention to ","lot,restaurants,passion,livelihood,food,presentation,attention",1,0,0,0
Simply simple great food presented as only an artist could    yes expensive yes memorable yes worth it for the experience,"food,artist,experience",1,0,1,1
One of the most interesting and challenging meals I've ever eaten at a michelin-starred restaurant.  Worth every penny.,"meals,michelin,restaurant,penny",1,0,0,0
"Fabulous dining experience, a must do in California. Great flavours, service, and hospitality from Dominique","dining,experience,flavours,service,hospitality",0,1,1,0
"One of the best meals I've ever had. Fresh, innovative, and beautiful.",meals,1,0,0,0
A unique dining experience unlike any other. Their playful attention to artfully crafted masterpieces is unparalleled.,"dining,experience,attention,masterpieces",0,0,1,0
This place just charged me 596.00 !and I was never there.,place,0,0,1,0
"This was mine and my husband's first fine dining experience. As a Michelin star restaurant, I was anxiously awaiting some spectacular food. Unfortunately, I was pretty disappointed. The staff was all very attentive, however, one of our ","husband,dining,experience,star,restaurant,food,staff",1,1,1,0
"I read great reviews of this restaurant, and so was sorely disappointed by its reality.  The food was whimsical, technical, and unmemorable.  Although we went on a weekend night, it was only about half full and had a stuffy and dull ","reviews,restaurant,reality,food,weekend,night,half",1,0,0,0
Amazing presentation. Enjoy the food with the poems.,"presentation,food,poems",1,0,0,0
Best meal of my life.... So far :-),"meal,life",1,0,0,0
Great experience and creative flavors. Still feel a bit over priced.,"experience,flavors,bit",0,0,1,0
This is possibly the best restaurant we have ever eaten at.  And we have been to most of the Michelin starred restaurants throughout the bay.  The food was inventive and delicious.  The service impeccable.  The length of the meal was just ,"restaurant,restaurants,bay,food,service,length,meal",1,1,0,0
"Great food, great service, incredible atmosphere.","food,service,atmosphere",1,1,1,0
"Took my gf here after hearing tons of hype. I love to try new and unusual things. Some of the food was good, but the price just isn't worth what you get. The clientele is also the snobbiest I have ever encountered. Save your money. Plenty of better and cheaper restaurants in San Francisco.","gf,tons,hype,things,food,price,clientele,money,plenty,restaurants",1,0,0,1
Chef Crenn is the most gracious. Food is fantastic.,food,1,0,0,0
"This restaurant is by far my favorite in San Francisco. I went there with my family to celebrate graduating college and it was the perfect choice. If you want to impress a date (someone who appreciates food, of course), THIS is the place. ","restaurant,family,college,choice,date,food,course,place",1,0,1,0
Dominique Crenn gave me one of the most interesting Michelin dining experiences I have ever had. The 15 course tasting menu we had was full of intense yet simplistic flavours in odd but harmonic combinations that were graciously bound ,"dining,experiences,course,tasting,menu,flavours,combinations",0,0,1,0
"Beautiful poetry on paper and on our plates. This was a meal my husband and I will still be talking about decades from now, never quite finding adequate adjectives to accurately describe the experience.","poetry,paper,plates,meal,husband,decades,adjectives,experience",1,0,1,0
"Incredible and memorable experience, playfully delicious. Mme Crenn is a culinary genius. Prompt seating, excellent service. Will definitely be back.","experience,genius,seating,service",0,1,1,0
Perhaps the most memorable meal of my life. Expensive and worth every penny.,"meal,life,penny",1,0,0,0
"5 stars for:- the food (taste, originality, composition, presentation)- the service (attentive but not hovering/intrusive)- location (in our neighborhood!)","stars,food,taste,originality,composition,service,intrusive)-,location,neighborhood",1,1,0,0
"A culinary and sensory delight: beautifully crafted plates (technically, molecular gastronomy) and one-of-a-kind presentation. Expensive, but a must visit -- the kind of place you may only visit once, but you'll remember it for a long time.","delight,plates,gastronomy,kind,presentation,place,time",0,0,1,0
"Artfully (and often playfully) presented, well balanced, and superbly tasting food, all in a milieu with great ambience and impeccable service.","food,milieu,ambience,service",1,1,1,0
"Great service, very creative menu, sufficient food, especially on the dessert side. ","service,menu,food,dessert",1,1,0,0
Dominque Crenn is every bit as cool as she seems and just as nice.  Highly recommend her restaurant for a michelin rated meal without the snootiness,"bit,restaurant,michelin,meal,snootiness",1,0,0,0
One of the best dining experiences I've ever had! This place has two Michelin stars and is every bit worth the rating. This place is for those who like molecular gastronomy. Look that up if you don't know what that is. You can choose from ,"dining,experiences,place,stars,bit,rating,gastronomy",0,0,1,0
"Exquisite special occasion restaurant. The tasting menu is creative, surprising, and beautifully presented and executed. The restaurant is minimalistic but elegant and service is gracious. You will likely see the chef as she often comes into the dining room.","occasion,restaurant,tasting,menu,service,chef,dining,room",0,1,0,0
I was lucky enough to experience Atelier Crenn with my girlfriend. This is the type of place that needs to be shared. Google's description is perfect. The atmosphere is very welcoming and helps you feel at home. The service is some of the ,"girlfriend,type,place,description,atmosphere,home,service",0,1,1,0
Hands down the best meal and wine pairing I have ever experienced. Save up your sheckels and go here.,"hands,meal,wine,sheckels",1,0,0,0
"Possibly the best multi-course dining experience in our lives.  Everything was gorgeously presented, and each course exceeded our expectations.We'll save this one for special occasions.","dining,experience,lives,course,expectations,occasions",0,0,1,0
The food is really refined and its experimental side works most of the time. Always pleased by a well thought tasting menu. The restaurant has a nice sleek modern decor in tune with the overall theme. Good use of the space but some of the ,"food,time,tasting,menu,restaurant,decor,tune,theme,use,space",1,0,0,0
Excellent fine dining experience !,"dining,experience",0,0,1,0
Immaculate presentation and service; warm hospitality (with a visit to the table by Crenn to ensure everything was perfect); and surprisingly thoughtful and innovative dishes that were as unique as they were delicious.,"presentation,service,hospitality,visit,table,dishes",0,1,0,0
Its decent ramen if youre in the UES and need your slurping fix. That said NYC is such a ramen mecca so one can be picky. Many really good ramen places in midtown and east village.,"ramen,fix,places,midtown,village",0,0,1,0
"Ramen wasn't as great as I hoped.  I got beef ramen, said ""most popular "". I found the beef to be too dry and chewy.","beef,ramen,chewy",1,0,0,0
Friendly service and nice variety of delicious food and cocktails.,"service,variety,food,cocktails",1,1,0,0
Food was great. Staff was very nice and attentive. Recommend the soft shell crab buns.,"food,staff,shell,crab,buns",1,1,0,0
Really liked the pumpkin tempura.  The staff was also really nice. Nice place to eat after touring the met or enjoying central park :),"pumpkin,tempura,staff,place,park",0,1,1,0
Love this place! The food is amazing,"place,food",1,0,1,0
Great prompt service. Indoor and outdoor seating. Nice ambience. I had a Saporro on tap. Limited beer selection. We also had hot sake. We had edimame to start which were good. We also had gyoza which were pan fried and delicious as well as ,"service,seating,ambience,tap,beer,selection,sake,edimame,gyoza,pan",0,1,1,0
"Awesome experience.. food, drinks, and overall experience worth it I my book.","experience,food,drinks,book",1,0,1,0
amazing food for a really great price. I got the crispy and spicy sesame chicken rice bowl that was served with miso soup was super delicious and an amazing portion that came out so quick. got shrimp tempura that was also great. My friends ,"food,price,sesame,chicken,bowl,miso,soup,portion,shrimp,tempura,friends",1,0,0,1
"Service was a little lacking- waiter didn't check in on us, only one dedicated waiter, water not topped off. But the ramen was good and my pork was extremely flavorful. Wish they gave chicken with the chicken soy. Not bad for a $15 bowl","lacking-,waiter,water,ramen,pork,chicken,soy,bowl",0,1,0,0
"Amazing food! Try the spicy edamame, spicy tuna crispy rice, and pork tonkotsu. Best ramen restaurant in NYC.","food,spicy,edamame,tuna,rice,pork,tonkotsu,ramen,restaurant",1,0,0,0
"Great restaurant that started off as a noodle place.  Their menu has since expanded greatly, with sushi available.  Their drinks are unique too.  Some great tasting Japanese whiskey and house cocktails.  The wait staff are very friendly.  Definitely a perfect place for a date.","restaurant,noodle,place,menu,drinks,whiskey,house,cocktails,wait,staff,date",1,1,1,0
The wait staff are super friendly and efficient.,"wait,staff",0,1,0,0
Definitely recommend!! Super good. Friendly staff! Best ramen in NY,"staff,ramen,ny",0,1,0,0
"Amazing experience overall! Flavorful options, fantastic presentation and great service. This is our new favorite spot. Thank you!","experience,options,presentation,service,spot",0,1,1,0
"This place was recommended, so we were hoping to find a little gem, but I am afraid it was just okay. The Malbec had a raisiny flavor and the ramen bowl veggie veggie tasted like bland liquid salad. Sushi was better.","place,gem,flavor,salad",0,0,1,0
"AMAZING ENVIRONMENT & great service! Food was lovely too! The gyoza could have been better - but Ive had a LOT of dumplings in my life, so these ones were pretty good. Perfect for a Friday night meal, definitely recommend!","service,food,gyoza,dumplings,life,ones,night,meal",1,1,0,0
"This place is simply delicious. The ramen isn't different from traditional ramen, but what sets it apart is how everything In the ramen is so fresh and good. I also like the sake they have it goes well with my beer and ramen. I would give ","place,ramen,sake,beer",0,0,1,0
"Their ramen are so good. I had the BBQ Short Rib Ramen, BOMB. My gf had the wagyu beef ramen it was great as well. Favorite spot in UES for ramen","ramen,gf,beef,spot",1,0,1,0
"""Great place with friendly service and quality food for a good price.""","place,service,quality,food,price",1,1,1,1
Very delicious ramen and appetizers.Love to come here for weekends brunch.The quality of the dishes are outstanding and consistent. ,"ramen,appetizers,love,weekends,brunch,quality,dishes",1,0,0,0
Cute little spot. Pure zen vibe.. for not bad!,"spot,vibe",0,1,1,0
I really like the Meijin beef ramen. The beef can be a little tough/dry but the flavor of the broth and the noodles definitely make up for it,"beef,ramen,flavor,broth,noodles",1,0,0,0
Delecious meals,meals,1,0,0,0
"""Great place with friendly service and quality food for a good price.""""Spicy pork ramen and pork curry were soooo good  cant wait to come back""""Relatively small place with pleasant atmosphere and very tasty kitchen.""","place,service,quality,food,price,pork,ramen,curry,atmosphere,kitchen",1,1,1,1
"Good service,  food excellent. I believe it was pumpkin tempura, Takoyaki ball and crab appetizer all very excellent.","service,food,tempura,ball,crab",1,1,0,0
The food is great and they have a great area set up outside where you are feel warm even in January.,"food,area",1,0,0,0
I was super excited to try this place but the noodles from this place tasted like the instant noodles you buy at any grocery store (top ramen). I was very disappointed with their quality of noodles. The broth was decent but I don't think I ,"place,noodles,grocery,store,ramen,quality,broth",0,0,1,0
"We arrived at this spot for lunch. my friend recommended this spot.  Well, we were not disappointed. the crew were so friendly and we felt good. The meal was yummy. We had a great time and we will definitely return to this restaurant. Highly recommended.","spot,lunch,friend,crew,meal,time,restaurant",1,0,1,0
The food is great but I would like to share me experience of dining out during the pandemic. They have a great area set up outside where you are feel warm even in January. And Its not windy. The waiter set up a heater for us so we enjoyed a great ramen and sitting outside without a wind.,"food,experience,dining,pandemic,area,waiter,heater,ramen,wind",1,1,1,0
"Beef broth was average, pork broth was better.","beef,broth,pork",1,0,0,0
"I called the restaurant to make sure they do delivery to my place and the lady who picked up the phone confirmed with me that they do delivery to my place so, I went ahead and ordered what I wanted to order for my family and paid with my ","restaurant,delivery,place,lady,phone,family",0,0,1,0
Wonderful simple place for a casual dining in UES area. Very delicious ramen soup...on pic you see the spicy one with pork.,"place,dining,area,pic,pork",0,0,1,0
Very delicious ramen and appetizers. Neighborhood gem. Love to come here for weekends brunch. The quality of the dishes are outstanding and consistent. The wait staff are super friendly and efficient. We know exactly what to expect every time we visit - a delicious meal and a comfortable setting.,"ramen,appetizers,neighborhood,gem,love,weekends,brunch,quality,dishes,wait,staff,time,meal,setting",1,1,0,0
I wish I could give more than 5 stars. Ive ordered delivery from here in the past and everything was so good. I finally made the time to eat at the location. Very nice place. Service was excellent. The food was even better and came out so fast. Great drink options for drinkers and non. Cant wait to come back!!!!,"stars,delivery,past,time,location,place,food,drink,options,drinkers,non",1,0,1,0
Tried this spot once with my friend and I am addicted ever since. I like the good mood and fresh dishes and drinks. I recommend this place.,"spot,friend,mood,dishes,drinks,place",1,0,1,0
Good restaurant and food!Friendly staff.,"restaurant,staff",0,1,0,0
Very friendly and delicious food,food,1,0,0,0
